vehicle_age,seller_type,fuel_type,transmission_type,mileage,engine,max_power,selling_price
5,Dealer,Petrol,Manual,18.5,1197,82.9,550000
5,Dealer,Diesel,Manual,15.4,2179,120.0,1050000
5,Dealer,Petrol,Manual,18.78,1198,74.0,450000
9,Dealer,Petrol,Automatic,11.74,1796,186.0,775000
7,Individual,Petrol,Manual,20.51,998,67.04,350000
7,Dealer,Diesel,Manual,25.1,1498,98.6,550000
2,Individual,Petrol,Manual,16.8,1497,113.4,1080000
5,Dealer,Petrol,Manual,21.01,1197,81.8,575000
5,Individual,Diesel,Manual,12.99,2494,100.6,950000
8,Individual,Petrol,Manual,22.74,796,47.3,230000
10,Individual,Diesel,Manual,21.9,1396,90.0,270000
10,Individual,Petrol,Manual,15.6,1196,70.0,130000
9,Dealer,Petrol,Manual,19.1,1197,85.8,370000
4,Dealer,Petrol,Manual,21.4,1197,83.1,570000
8,Dealer,Diesel,Manual,22.07,1199,73.9,365000
9,Dealer,Petrol,Manual,18.5,1197,82.85,280000
3,Dealer,Diesel,Automatic,22.0,1582,126.2,1250000
5,Dealer,Petrol,Manual,18.6,1197,81.83,590000
3,Individual,Petrol,Automatic,23.1,998,67.04,475000
4,Dealer,Diesel,Manual,23.0,1498,98.96,685000
9,Dealer,Diesel,Automatic,19.08,1582,126.32,380000
3,Individual,Petrol,Manual,23.01,999,67.0,330000
3,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,650000
5,Individual,Petrol,Manual,20.51,998,67.04,325000
3,Dealer,Petrol,Automatic,21.21,1197,81.8,640000
2,Individual,Petrol,Manual,18.27,998,118.35,949000
6,Individual,Diesel,Manual,23.9,1582,126.2,660000
7,Dealer,Petrol,Manual,16.1,1197,85.0,435000
8,Dealer,Diesel,Manual,21.9,1396,88.76,385000
2,Dealer,Diesel,Automatic,22.0,1582,126.2,1250000
12,Dealer,Petrol,Manual,18.9,998,67.1,155000
6,Dealer,Diesel,Manual,25.2,1248,74.0,415000
10,Individual,Petrol,Manual,20.92,998,67.1,251000
5,Dealer,Diesel,Manual,15.4,2179,120.0,1150000
7,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,310000
6,Individual,Petrol,Manual,19.44,1198,67.0,350000
4,Dealer,Diesel,Manual,15.4,1997,120.0,1125000
5,Dealer,Diesel,Automatic,18.59,2993,261.49,2600000
3,Individual,Petrol,Manual,20.62,1198,67.0,480000
4,Individual,Diesel,Automatic,28.4,1248,74.02,850000
4,Dealer,Diesel,Automatic,17.01,1582,126.2,1100000
3,Dealer,Petrol,Manual,22.0,1197,81.8,575000
9,Dealer,Petrol,Manual,17.5,1298,85.8,340000
3,Individual,Diesel,Manual,23.0,1498,98.96,925000
6,Dealer,Petrol,Manual,18.9,1197,82.0,400000
5,Dealer,Petrol,Manual,17.8,1497,117.3,725000
7,Individual,Diesel,Manual,23.4,1248,74.0,600000
8,Individual,Diesel,Manual,12.05,2179,120.0,550000
4,Dealer,Diesel,Manual,25.83,1498,99.0,585000
2,Individual,Petrol,Manual,21.79,998,67.05,411000
6,Individual,Petrol,Manual,20.85,1197,83.14,450000
6,Dealer,Petrol,Automatic,13.7,1997,153.86,1290000
6,Dealer,Petrol,Manual,16.47,1198,74.0,455000
2,Individual,Petrol,Manual,20.7,1197,81.86,710000
5,Dealer,Petrol,Manual,16.8,1497,116.3,770000
3,Individual,Diesel,Automatic,10.91,3198,197.0,2900000
3,Individual,Diesel,Manual,25.8,1498,98.6,720000
5,Dealer,Diesel,Manual,25.32,1198,77.0,375000
6,Individual,Petrol,Manual,19.44,1198,67.0,400000
6,Individual,Diesel,Manual,19.87,1461,83.8,600000
3,Individual,Petrol,Manual,18.7,1199,88.7,600000
9,Individual,LPG,Manual,14.4,998,61.7,270000
6,Individual,Petrol,Manual,18.6,1197,81.83,500000
6,Dealer,Diesel,Manual,23.9,1582,126.2,650000
3,Individual,Petrol,Automatic,21.21,1197,81.8,660000
5,Dealer,Diesel,Automatic,22.69,1995,190.0,2090000
1,Dealer,Petrol,Manual,16.8,1497,113.4,1275000
6,Dealer,Diesel,Manual,28.4,1248,74.0,495000
5,Individual,Petrol,Manual,18.9,1197,82.0,475000
6,Individual,Petrol,Manual,20.73,1373,91.1,530000
5,Individual,Petrol,Manual,23.84,1199,84.0,530000
6,Individual,Petrol,Manual,17.01,1591,121.3,650000
11,Dealer,Petrol,Manual,17.0,1497,118.0,335000
8,Dealer,Diesel,Automatic,16.55,1968,147.51,1290000
10,Individual,Diesel,Manual,20.0,1399,68.0,300000
2,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,550000
8,Trustmark Dealer,Diesel,Manual,23.4,1248,74.0,390000
13,Individual,Diesel,Manual,13.6,2523,63.0,260000
4,Dealer,Diesel,Manual,24.7,1047,69.0,395000
9,Individual,Diesel,Manual,12.05,2179,120.0,550000
3,Individual,Petrol,Manual,22.0,1197,81.8,650000
5,Dealer,Diesel,Manual,28.4,1248,74.0,375000
2,Individual,Petrol,Manual,16.1,1353,138.0,1300000
3,Individual,Petrol,Manual,23.95,998,67.05,360000
1,Individual,Petrol,Manual,21.63,998,67.04,505000
2,Individual,Petrol,Manual,24.7,796,47.3,310000
6,Dealer,Petrol,Manual,18.6,1197,81.86,545000
15,Individual,Diesel,Manual,13.6,2523,63.0,150000
3,Individual,Petrol,Manual,21.4,1197,83.1,580000
10,Individual,Petrol,Manual,18.9,998,67.1,250000
4,Individual,Petrol,Manual,17.43,1396,105.5,650000
3,Individual,Diesel,Manual,25.47,1248,88.5,410000
6,Dealer,Diesel,Manual,22.77,1498,98.59,531000
3,Individual,Diesel,Manual,23.0,1498,98.96,890000
5,Dealer,Diesel,Manual,14.0,2179,138.1,775000
3,Dealer,CNG,Manual,33.54,998,67.04,435000
9,Dealer,Diesel,Manual,20.0,1399,68.05,185000
10,Dealer,Diesel,Manual,15.96,2523,62.1,440000
6,Individual,Petrol,Manual,18.6,1197,81.83,450000
4,Individual,Petrol,Manual,21.4,1197,83.1,600000
7,Individual,Petrol,Manual,23.1,998,67.04,320000
5,Individual,Diesel,Manual,21.19,1396,88.73,700000
3,Individual,Petrol,Manual,18.16,1196,86.8,630000
5,Individual,Petrol,Manual,22.74,796,47.3,320000
8,Dealer,Petrol,Manual,16.8,1497,116.3,465000
5,Individual,Petrol,Manual,18.6,1197,81.83,550000
4,Individual,Petrol,Manual,22.0,1197,81.8,445000
8,Dealer,Diesel,Manual,14.0,2179,138.1,705000
8,Dealer,CNG,Manual,33.54,998,67.04,270000
7,Dealer,Diesel,Manual,26.0,1498,98.6,475000
6,Individual,Diesel,Manual,12.55,2982,168.5,1755000
10,Dealer,Petrol,Manual,16.9,1497,100.0,350000
5,Dealer,Petrol,Manual,18.6,1197,81.83,575000
4,Individual,Petrol,Manual,23.01,999,67.0,360000
4,Individual,Petrol,Manual,24.7,796,47.3,275000
5,Individual,Petrol,Manual,19.44,1198,67.0,320000
6,Dealer,Petrol,Manual,18.9,1197,82.0,370000
12,Individual,Petrol,Manual,17.5,1298,85.8,275000
7,Dealer,Petrol,Manual,17.4,1497,117.3,550000
3,Individual,Diesel,Manual,28.4,1248,74.02,750000
6,Individual,Petrol,Manual,20.51,998,67.04,272000
2,Dealer,Diesel,Manual,28.09,1248,88.5,951000
8,Individual,Petrol,Manual,20.92,998,67.1,280000
8,Individual,Petrol,Manual,16.8,1497,116.3,545000
1,Individual,Petrol,Manual,22.3,799,53.26,450000
4,Dealer,Petrol,Manual,18.6,1197,81.83,480000
4,Dealer,Diesel,Manual,15.4,1997,120.0,1060000
8,Dealer,Petrol,Manual,22.74,796,47.3,235000
4,Individual,Petrol,Manual,21.4,1197,83.1,590000
3,Dealer,Diesel,Automatic,12.9,2755,174.5,2950000
13,Individual,Petrol,Manual,17.92,1086,62.1,110000
14,Individual,Diesel,Manual,13.5,2179,115.0,280000
5,Dealer,Petrol,Automatic,17.84,1395,147.51,1851000
3,Individual,Petrol,Manual,17.4,1497,117.3,750000
6,Dealer,Petrol,Manual,18.9,1197,81.86,400000
6,Individual,Diesel,Manual,26.59,1248,74.0,530000
3,Individual,Diesel,Manual,16.55,2498,105.0,870000
3,Dealer,Petrol,Manual,25.17,799,53.3,295000
4,Individual,Diesel,Manual,27.28,1047,69.0,370000
3,Individual,Petrol,Manual,21.21,1197,81.8,530000
4,Individual,Petrol,Automatic,24.04,999,67.0,350000
8,Dealer,Diesel,Manual,22.7,1498,89.84,470000
6,Individual,Diesel,Manual,25.83,1498,99.0,390000
6,Individual,Diesel,Manual,15.4,2179,120.0,920000
8,Individual,Diesel,Manual,15.1,2179,140.0,550000
7,Individual,Diesel,Manual,22.32,1582,126.32,635000
4,Dealer,Diesel,Automatic,16.0,2179,140.0,1250000
3,Individual,Petrol,Manual,24.7,796,47.3,300000
3,Individual,Petrol,Automatic,18.0,1497,117.6,960000
3,Individual,Diesel,Manual,24.3,1248,88.5,750000
10,Dealer,Petrol,Manual,16.47,1198,73.9,249000
3,Individual,Diesel,Manual,17.6,2179,153.86,1400000
10,Individual,Diesel,Manual,20.0,1399,68.0,250000
7,Individual,Diesel,Manual,22.32,1582,126.32,610000
5,Dealer,Diesel,Manual,21.7,1498,98.96,545000
8,Individual,Diesel,Manual,22.32,1582,126.3,480000
7,Dealer,Petrol,Manual,18.6,1197,81.83,395000
9,Dealer,Diesel,Manual,12.99,2494,100.6,495000
4,Individual,Petrol,Manual,18.9,1197,82.0,470000
10,Dealer,Diesel,Manual,22.07,1199,73.9,200000
5,Individual,Diesel,Manual,21.19,1396,88.73,699000
7,Individual,Petrol,Manual,20.51,998,67.04,340000
7,Individual,Diesel,Manual,20.45,1461,83.8,500000
4,Individual,Petrol,Manual,17.14,1497,117.6,1050000
5,Individual,Diesel,Manual,19.6,1461,108.45,600000
4,Dealer,Petrol,Manual,20.4,1197,81.8,491000
5,Dealer,Petrol,Automatic,12.63,1999,177.0,2890000
13,Individual,Petrol,Manual,20.36,1197,78.9,160000
2,Dealer,Petrol,Manual,18.27,998,118.35,985000
7,Individual,Diesel,Manual,23.4,1248,74.0,500000
4,Individual,Petrol,Manual,23.84,1199,84.0,335000
16,Individual,Petrol,Manual,19.7,796,46.3,85000
3,Dealer,Petrol,Automatic,17.1,1199,88.51,740000
8,Dealer,Petrol,Manual,22.0,1197,81.8,375000
3,Individual,Diesel,Manual,24.3,1248,88.5,810000
11,Individual,Petrol,Manual,16.47,1198,73.9,173000
4,Individual,Diesel,Manual,24.3,1248,88.5,700000
5,Individual,Diesel,Manual,25.32,1198,77.0,310000
4,Individual,Diesel,Manual,15.4,1997,120.0,850000
8,Individual,Diesel,Manual,22.54,1396,88.76,285000
7,Individual,Diesel,Manual,23.4,1248,74.0,450000
4,Individual,Diesel,Manual,19.67,1582,126.2,1100000
4,Individual,Diesel,Manual,15.4,1997,120.0,1080000
7,Dealer,Diesel,Manual,26.0,1498,98.6,530000
4,Individual,Diesel,Manual,28.4,1248,74.02,680000
4,Dealer,Diesel,Manual,15.4,1997,120.0,1025000
4,Individual,Petrol,Manual,18.6,1197,81.83,650000
9,Dealer,Petrol,Manual,20.36,1197,78.9,194000
2,Individual,Petrol,Automatic,21.4,1197,83.1,686000
5,Individual,Petrol,Manual,22.74,796,47.3,200000
11,Dealer,Petrol,Manual,19.1,1197,85.8,250000
3,Individual,Diesel,Manual,24.3,1248,88.5,730000
5,Dealer,Petrol,Manual,17.01,1591,121.3,650000
4,Dealer,Diesel,Manual,24.3,1248,88.5,790000
4,Individual,Petrol,Manual,21.4,1197,83.1,620000
8,Individual,Petrol,Manual,17.01,1591,121.3,510000
8,Individual,Petrol,Manual,15.37,1196,73.0,375000
4,Trustmark Dealer,Petrol,Automatic,21.21,1197,81.8,620000
10,Individual,Diesel,Automatic,11.4,2953,153.86,950000
4,Dealer,Diesel,Manual,13.68,2393,147.51,1450000
5,Individual,Petrol,Automatic,18.0,1497,117.3,845000
7,Dealer,Diesel,Manual,23.4,1248,74.0,390000
6,Dealer,Petrol,Manual,18.0,1198,86.7,395000
3,Individual,Petrol,Manual,18.9,1197,81.86,450000
8,Individual,Diesel,Automatic,17.68,1968,174.33,1700000
8,Dealer,Petrol,Manual,18.9,1197,82.0,325000
5,Individual,Diesel,Manual,25.32,1198,77.0,350000
8,Dealer,Diesel,Manual,15.1,2179,140.0,650000
9,Dealer,Petrol,Manual,12.3,1796,185.0,1250000
4,Individual,Diesel,Manual,28.4,1248,74.02,750000
11,Dealer,Petrol,Manual,17.0,1497,118.0,299000
3,Dealer,Petrol,Automatic,12.19,1997,237.36,7000000
9,Dealer,Petrol,Automatic,17.33,1998,189.08,1325000
7,Dealer,Diesel,Manual,20.77,1248,88.76,524000
9,Dealer,Diesel,Manual,20.0,1399,68.05,169000
7,Individual,Diesel,Manual,20.77,1248,88.8,500000
9,Dealer,Diesel,Automatic,12.07,2967,241.4,2000000
8,Individual,Diesel,Manual,23.4,1248,74.0,380000
3,Individual,Petrol,Automatic,20.51,998,67.0,400000
1,Dealer,Petrol,Automatic,20.3,1086,68.0,565000
6,Dealer,Petrol,Manual,20.51,998,67.04,335000
11,Dealer,Diesel,Manual,12.05,2179,120.0,300000
6,Dealer,Diesel,Manual,15.4,1997,120.0,1051000
4,Individual,Diesel,Manual,24.0,1186,73.97,510000
3,Individual,Petrol,Automatic,24.04,999,67.0,370000
15,Individual,Petrol,Manual,18.9,998,67.1,200000
3,Individual,Diesel,Manual,27.39,1248,74.0,625000
3,Dealer,Diesel,Manual,16.36,2179,140.0,1290000
4,Dealer,Petrol,Manual,15.8,1591,121.3,890000
9,Dealer,Diesel,Manual,22.32,1582,126.3,420000
4,Trustmark Dealer,Petrol,Manual,20.4,1197,83.11,500000
3,Individual,Petrol,Manual,18.9,1197,81.86,600000
4,Individual,Diesel,Manual,27.39,1248,74.0,590000
10,Dealer,Petrol,Manual,20.36,1197,78.9,190000
4,Individual,Petrol,Manual,19.44,1198,67.0,500000
4,Individual,Petrol,Manual,23.1,998,67.04,450000
6,Individual,Diesel,Manual,15.1,2179,140.0,650000
1,Dealer,Petrol,Automatic,11.29,2998,335.0,8250000
1,Individual,Petrol,Manual,20.52,1197,81.8,500000
12,Individual,Petrol,Manual,19.7,796,46.3,140000
8,Dealer,CNG,Manual,18.0,1198,86.7,349000
7,Individual,Petrol,Manual,20.51,998,67.06,325000
7,Dealer,Petrol,Manual,17.8,1497,117.3,435000
3,Dealer,CNG,Manual,31.79,998,58.33,455000
3,Individual,Petrol,Automatic,9.17,2995,335.25,6200000
4,Dealer,Petrol,Manual,17.8,1497,117.3,755000
7,Individual,Petrol,Manual,23.95,998,67.05,245000
2,Dealer,Diesel,Manual,20.8,1493,113.4,1350000
3,Individual,Petrol,Automatic,24.04,999,67.0,310000
3,Individual,Petrol,Automatic,14.28,1998,254.7,5500000
3,Dealer,Diesel,Manual,19.3,1248,73.9,675000
2,Individual,Petrol,Manual,20.52,1197,81.8,500000
11,Individual,Petrol,Manual,20.36,1197,78.9,300000
5,Individual,Diesel,Automatic,15.4,2179,120.0,1450000
8,Individual,Diesel,Manual,12.05,2179,120.0,530000
7,Trustmark Dealer,Diesel,Manual,22.7,1498,89.84,575000
4,Individual,Petrol,Manual,18.6,1197,81.83,550000
7,Individual,Diesel,Manual,26.21,1248,88.5,500000
1,Individual,Petrol,Manual,21.01,1197,81.8,643000
2,Individual,Petrol,Manual,18.1,999,123.24,1000000
5,Individual,Petrol,Manual,18.9,1197,82.0,550000
10,Individual,Diesel,Manual,20.54,1598,103.6,300000
3,Individual,Petrol,Manual,20.3,1199,84.0,470000
7,Dealer,Diesel,Manual,26.0,1498,98.6,525000
4,Individual,Petrol,Manual,19.44,1198,67.0,469000
9,Individual,Petrol,Manual,20.92,998,67.1,210000
8,Individual,Petrol,Manual,22.74,796,47.3,200000
2,Individual,Petrol,Manual,23.01,999,67.0,400000
8,Dealer,Diesel,Automatic,16.36,2179,187.7,2150000
5,Individual,Petrol,Manual,23.1,998,67.04,340000
16,Individual,Petrol,Manual,19.7,796,46.3,95000
9,Individual,Diesel,Manual,22.9,1248,74.0,381000
10,Dealer,Diesel,Automatic,14.94,2143,204.0,775000
4,Individual,Diesel,Manual,28.4,1248,74.02,700000
4,Dealer,Diesel,Manual,28.09,1248,88.5,675000
6,Dealer,Petrol,Automatic,18.0,1497,117.3,670000
3,Individual,Diesel,Manual,16.0,2179,140.0,1050000
2,Individual,Diesel,Automatic,13.38,2993,265.0,7900000
10,Dealer,Petrol,Manual,17.0,1497,118.0,360000
4,Individual,Diesel,Manual,25.83,1498,99.0,400000
7,Dealer,Diesel,Manual,22.32,1582,126.32,470000
3,Individual,Petrol,Manual,24.7,796,47.3,304000
7,Dealer,Diesel,Manual,26.0,1498,98.6,490000
5,Individual,Diesel,Manual,15.4,1997,120.0,864000
8,Dealer,Diesel,Manual,16.0,2179,140.0,480000
2,Dealer,Petrol,Automatic,20.52,1197,81.8,575000
2,Individual,Petrol,Automatic,21.4,1197,83.1,686000
6,Dealer,Diesel,Manual,12.99,2494,100.0,780000
3,Dealer,Diesel,Automatic,17.68,1968,174.33,3490000
2,Dealer,Diesel,Manual,17.41,1956,167.68,1699000
2,Individual,Diesel,Manual,28.4,1248,74.0,800000
3,Individual,Petrol,Automatic,21.4,1197,83.1,680000
11,Individual,Diesel,Manual,11.5,2982,171.0,1200000
9,Dealer,Diesel,Manual,12.99,2494,100.0,525000
2,Dealer,Petrol,Manual,17.0,1497,121.36,955000
9,Individual,Diesel,Manual,21.9,1396,90.0,350000
1,Dealer,Petrol,Manual,17.03,1462,103.26,800000
16,Individual,Petrol,Manual,19.7,796,46.3,75000
6,Individual,Diesel,Manual,16.0,2179,140.0,825000
2,Individual,Diesel,Manual,17.3,1497,121.0,1476000
3,Dealer,Petrol,Automatic,18.2,1199,88.7,670000
9,Dealer,Petrol,Manual,19.7,796,46.3,180000
4,Individual,Petrol,Manual,18.9,1197,81.86,490000
4,Individual,Petrol,Manual,21.4,1197,83.1,550000
7,Individual,Petrol,Manual,20.36,1197,78.9,350000
2,Individual,Diesel,Manual,13.68,2393,147.8,1500000
9,Dealer,Diesel,Manual,20.0,1399,68.05,190000
7,Individual,Diesel,Manual,20.45,1461,83.8,460000
2,Dealer,Petrol,Automatic,21.21,1197,81.8,650000
5,Individual,Diesel,Manual,28.09,1248,88.5,700000
4,Individual,Petrol,Manual,20.4,1197,81.8,455000
7,Dealer,Petrol,Manual,22.0,1197,81.8,365000
7,Dealer,Petrol,Manual,19.1,1197,85.8,470000
3,Dealer,Diesel,Automatic,12.9,2755,174.5,2950000
9,Individual,Diesel,Manual,22.9,1248,74.0,400000
6,Dealer,Diesel,Manual,19.87,1461,83.8,550000
2,Dealer,Petrol,Automatic,13.9,1799,130.2,1519000
3,Individual,Diesel,Automatic,28.4,1248,74.02,740000
8,Dealer,Diesel,Manual,25.8,1498,98.6,325000
1,Individual,Petrol,Automatic,20.7,1197,81.86,600000
8,Individual,Diesel,Manual,25.8,1498,98.6,300000
11,Individual,Petrol,Manual,20.36,1197,78.9,300000
5,Dealer,CNG,Manual,26.6,998,58.16,345000
3,Individual,Diesel,Manual,15.4,2523,75.0,900000
5,Dealer,Diesel,Manual,16.0,1997,140.0,1025000
4,Dealer,Diesel,Manual,12.4,2499,134.0,1450000
6,Individual,Petrol,Manual,20.4,1197,81.8,400000
7,Dealer,Diesel,Manual,25.8,1498,98.6,367000
2,Individual,Petrol,Automatic,18.9,1197,81.86,535000
2,Individual,Petrol,Manual,19.34,1462,103.0,805000
1,Dealer,Petrol,Manual,15.81,1451,141.0,1488000
9,Individual,Petrol,Manual,20.36,1197,78.9,250000
10,Dealer,Diesel,Automatic,14.21,2143,203.0,700000
5,Dealer,Diesel,Manual,24.3,1248,88.5,675000
6,Dealer,Diesel,Manual,28.4,1248,74.0,425000
6,Individual,Petrol,Manual,22.74,796,47.3,260000
5,Dealer,Petrol,Manual,17.8,1497,117.3,700000
4,Individual,Diesel,Manual,27.39,1248,74.0,560000
15,Individual,Diesel,Manual,16.8,1493,110.0,155000
5,Dealer,Diesel,Automatic,15.15,2967,240.0,5975000
2,Dealer,Petrol,Manual,19.01,1462,103.26,800000
10,Dealer,Diesel,Automatic,22.69,1995,190.0,750000
6,Individual,Petrol,Manual,18.9,1197,82.0,350000
5,Individual,Diesel,Manual,13.68,2393,147.8,1380000
6,Individual,Diesel,Manual,15.4,2179,120.0,1000000
3,Individual,Petrol,Manual,17.5,1373,91.1,700000
12,Individual,Petrol,Manual,17.5,1298,85.8,230000
5,Dealer,Diesel,Automatic,18.12,1995,190.0,2800000
5,Dealer,CNG,Manual,30.46,796,47.3,350000
3,Individual,Diesel,Manual,27.39,1248,74.0,825000
3,Dealer,Petrol,Manual,25.17,799,53.3,325000
7,Dealer,Diesel,Automatic,17.05,1995,184.0,1675000
7,Dealer,Diesel,Manual,15.1,2179,140.0,800000
2,Individual,Petrol,Manual,23.1,998,67.04,400000
3,Dealer,Diesel,Manual,13.68,2393,147.51,1750000
8,Dealer,Diesel,Automatic,16.55,1968,147.51,1200000
6,Dealer,Diesel,Manual,22.54,1396,88.73,535000
6,Individual,Petrol,Manual,18.9,1197,82.0,356000
9,Dealer,Diesel,Manual,16.0,2179,140.0,550000
3,Dealer,CNG,Manual,21.94,1196,61.7,360000
4,Individual,Diesel,Manual,24.52,1248,88.5,700000
5,Individual,Petrol,Manual,18.9,1197,82.0,390000
9,Dealer,Diesel,Automatic,12.55,2982,168.7,1245000
4,Individual,Diesel,Automatic,16.0,2179,140.0,1150000
10,Dealer,Petrol,Manual,18.9,998,67.1,180000
7,Dealer,Petrol,Manual,15.0,1598,103.52,425000
2,Individual,Petrol,Manual,19.0,1194,94.68,650000
9,Individual,Diesel,Manual,22.9,1248,74.0,400000
12,Dealer,Petrol,Manual,17.0,1497,118.0,275000
10,Individual,Petrol,Manual,19.7,796,46.3,170000
11,Individual,Petrol,Manual,13.14,1798,157.8,235000
10,Individual,Diesel,Automatic,14.84,2143,170.0,700000
7,Individual,Petrol,Manual,23.95,998,67.05,250000
8,Individual,Petrol,Manual,18.6,1197,85.8,350000
5,Individual,Petrol,Manual,18.6,1197,81.83,480000
4,Dealer,Petrol,Automatic,21.21,1197,81.8,690000
6,Individual,Diesel,Manual,26.21,1248,88.5,670000
10,Individual,Petrol,Manual,20.92,998,67.1,250000
4,Dealer,Diesel,Manual,15.4,2523,75.0,935000
2,Individual,Petrol,Manual,17.0,1591,121.3,1030000
16,Individual,Petrol,Manual,18.9,998,67.1,110000
6,Individual,Petrol,Manual,18.6,1197,81.83,470000
6,Individual,Petrol,Manual,20.4,1197,81.8,370000
3,Individual,Petrol,Automatic,23.1,998,67.04,450000
5,Dealer,CNG,Manual,26.2,998,58.2,275000
2,Individual,Petrol,Automatic,21.21,1197,81.8,731000
5,Individual,Petrol,Manual,20.51,998,67.04,380000
3,Individual,Diesel,Manual,21.5,1497,108.5,900000
5,Dealer,Petrol,Manual,18.0,1198,86.7,500000
4,Individual,Petrol,Manual,20.63,1198,67.06,330000
3,Individual,Diesel,Manual,17.6,2179,153.86,1400000
8,Individual,Diesel,Manual,22.32,1582,126.3,540000
13,Individual,Diesel,Manual,13.6,2523,63.0,375000
5,Dealer,Petrol,Automatic,10.26,2694,163.7,2600000
5,Dealer,Petrol,Automatic,14.7,1496,120.69,725000
